Year,CAR,NEA,NEF,NPL,NWP,Total
2000,15.69,13.86,11.78,7.28,7.54,11.23
2000,14.92,14.67,19.71,16.29,7.9,14.698
2000,22.19,20.14,24.95,22.14,10.12,19.908
2000,9.34,13.78,7.58,10.02,10.29,10.202
2000,2.66,6.13,12.77,5.42,3.69,6.134
2000,12.01,9.19,5.07,3.25,10.55,8.014
2000,8.09,6.74,4.16,11.36,7.29,7.528
2000,4.82,16.97,6.86,7.06,5.42,8.226
2000,5.44,13.73,9.21,8.28,8.2,8.972
2000,6.12,8.2,12.51,10.73,5.53,8.618
2000,12.58,11.63,10.86,6.13,10.61,10.362
2000,3.93,10.3,5.22,2.2,7.1,5.75
2001,32.54,1.77,7.17,20.75,20.63,16.572
2001,10.95,6.76,6.66,4,6.5,6.974
2001,14.87,6.53,4.46,8.91,9.99,8.952
2001,10.54,6.34,11.96,9.89,8.61,9.468
2001,4.47,25.85,20.19,11.37,5.56,13.488
2001,9.79,16.44,13.37,5.64,5.7,10.188
2001,13.59,9.87,10.59,11.73,8.64,10.884
2001,12.28,23.76,21.23,16.72,10.55,16.908
2001,18.44,20.74,11.73,16.95,9.23,15.418
2001,2.81,19.71,11.55,3.04,2.79,7.98
2001,14.9,17.71,25.27,24.84,14.14,19.372
2001,12.63,19.86,26.57,7.74,7.22,14.804
2002,20.45,6.46,17.86,20.12,17.61,16.5
2002,8.94,14.06,17.55,16.94,6.96,12.89
2002,5.17,8.06,5.55,1.21,2.61,4.52
2002,3.05,11.04,15.14,3.79,5.75,7.754
2002,8,6.56,3.67,4.68,9.72,6.526
2002,12.51,7.25,10.59,16.34,12.61,11.86
2002,10.39,11.63,19.37,22.22,12.73,15.268
2002,7.06,18.96,16.76,10.28,8.91,12.394
2002,10.72,19.93,20.92,10.7,7.48,13.95
2002,10.77,8.11,7.3,2.04,14.65,8.574
2002,25.6,8.34,6.81,17.5,31.81,18.012
2002,31.81,9.67,16.83,24.51,20.06,20.576
2003,13.65,4.64,6.77,15.77,20.89,12.344
2003,5.88,4.84,4.87,3.45,10.29,5.866
2003,10.51,7,11.95,14.55,11.32,11.066
2003,16.81,10.35,8.61,13.52,14.62,12.782
2003,10.91,11.61,6.82,9.79,8.54,9.534
2003,7.12,13.66,10.76,10.23,11.88,10.73
2003,16.68,11.83,6.04,15.06,17.09,13.34
2003,11.15,17.33,18.49,24.32,10.41,16.34
2003,13.3,35.58,19.03,13.97,12.76,18.928
2003,23.3,19.55,12.19,20.21,23.09,19.668
2003,10.97,15.01,13.42,4.53,7.7,10.326
2003,15.21,18.34,18.34,13.97,9.61,15.094
2004,4.94,7.93,6.48,4.27,7.96,6.316
2004,8.84,5.32,6.8,7.69,11.25,7.98
2004,8.16,8.66,12.35,14.87,14.25,11.658
2004,11.61,9.55,7.89,12.39,20.11,12.31
2004,8.95,9.31,7.87,4.37,19.8,10.06
2004,25.75,5.55,4.09,5.64,32.74,14.754
2004,16.28,13.31,5.35,12.43,21.02,13.678
2004,15.12,17.65,5.2,4.44,22.78,13.038
2004,5.32,10.93,17.55,8.32,3.68,9.16
2004,5.25,18.1,12.7,8.61,9.61,10.854
2004,9.83,6.49,10.18,13.33,11.44,10.254
2004,10.05,7.93,7.48,14.92,16.83,11.442
2005,11.84,6.33,9.28,14.02,17.86,11.866
2005,11.97,18.08,18.78,17.08,14.04,15.99
2005,18.63,5.63,4.95,15.81,24.64,13.932
2005,19.83,15.32,17.25,21.97,21.88,19.25
2005,19.42,16.51,7.77,9.75,28.89,16.468
2005,8.76,17.63,25.63,7.83,12.69,14.508
2005,3.83,14.93,18.33,9.15,6.68,10.584
2005,9.7,13.67,15.78,6.8,12.14,11.618
2005,6.48,22.08,18.06,6.56,5.75,11.786
2005,11.85,19.18,19.34,9.59,8.57,13.706
2005,19.43,18.42,15.45,18.76,14.69,17.35
2005,35.53,11.41,10.94,30.78,26.83,23.098
2006,13.82,19.18,26.91,30.14,14.36,20.882
2006,22.06,15.54,12.92,8.76,12.51,14.358
2006,15.64,15.05,12.52,5.38,5.39,10.796
2006,14.77,22.63,18.71,20.3,11.13,17.508
2006,13.34,26.54,19.1,14.56,14.48,17.604
2006,23.3,25.35,13.49,16.76,18.74,19.528
2006,9.04,14.88,16.43,21.32,17.53,15.84
2006,5.91,6.73,8.45,9.59,4.96,7.128
2006,22.23,17.53,8.48,14.98,15.21,15.686
2006,10.89,10.2,7.51,5.2,10.49,8.858
2006,1.17,22.49,19.98,8.2,4.59,11.286
