T10,T90,Total_044,Total_4564,Total_6584,Total_85
0.004011996,0.007539992,7.581941412,0.028652771,0.33127337,0.884560938
0.002331996,0.007899985,6.005548496,0.004775494,0.261885226,0.148033484
0.002033996,0.010119977,6.183528342,0.004057587,0.269166086,0.126410889
0.00797199,0.01028997,5.807228097,0.000883935,0.253037394,0.028724925
0.009481986,0.003689973,5.939441697,0.001399059,0.258084688,0.04396311
0.010013983,0.010549967,5.680099636,-0.000388411,0.246887388,-0.010557583
0.008751982,0.007289967,5.842824066,0.000602318,0.253443115,0.018614139
0.008983981,0.005419969,5.725865882,-0.000324928,0.247409278,-0.007906078
0.010425979,0.008199968,5.685184775,-0.000460225,0.246219823,-0.013581223
0.009369979,0.005529971,6.163187788,0.002571096,0.267163611,0.07914258
0.007729981,0.010609969,6.015718773,0.001483844,0.261332879,0.04685802
0.012247977,0.007099973,6.666616493,-0.016046462,0.288281552,-0.496167505
-2.176769513,8.732627932,6.74640703,-0.165698421,-24.10793698,-5.034918618
4.1545786,-4.570909922,5.92850678,3.332799416,14.95876057,100.5230909
3.067275121,-1.611901194,6.411118729,1.529482517,6.526993693,48.81619777
-1.565553429,-1.946190331,5.958987535,0.759463676,1.28535553,27.38550467
-2.336304513,1.460526176,5.98946829,0.604553338,1.893437208,19.83444548
-1.782973551,-3.783462567,5.79642351,0.939837183,4.048668808,26.48619597
1.502581355,2.069573494,5.781183133,-0.236936326,-3.469120041,-8.514359431
-4.181341306,4.297846777,5.826904265,1.201100935,6.466200093,31.27110866
-4.736111346,0.211748556,5.588138353,-0.624051508,-5.321989931,-17.76844626
-0.93646465,-2.256080515,6.111391308,0.363694314,0.678929184,11.73343853
-2.764305946,3.402256931,5.887865774,-0.698236327,-5.925050432,-20.25191838
-6.572867607,0.230724457,6.243474578,-2.18349215,-17.46721408,-66.3512338
2.654862464,1.808403358,6.365406975,-0.59163301,-10.36747297,-30.3702137
-0.05948274,-1.438821961,5.837073116,3.192716106,18.53457951,92.91887088
12.16599771,-6.819413374,6.350166575,1.160137847,6.670931911,38.26910321
7.328038349,-1.516617703,5.79643205,0.26024772,-0.599446629,8.817263381
7.514086318,6.08580652,5.862473782,0.967461351,5.43149581,29.63106024
-2.357258146,3.746640429,5.476383654,-0.316208935,-4.055446783,-14.11369537
-1.078614556,2.937113467,5.826912849,1.960764107,12.27431564,56.53984641
3.283064183,-0.884048643,5.704989651,-0.013468793,-0.184337546,-2.325145975
-2.680932582,-1.951591893,5.384941256,-0.41162475,-4.354815057,-14.86225523
6.613614547,8.885241276,5.816752583,-0.138820345,-1.15855095,-2.549552137
2.727491959,14.0688677,5.918355248,1.055827004,7.046332571,29.78163182
-3.617317093,5.405463934,6.360326842,-1.225952684,-5.865218185,-33.10660869
-0.357255883,-1.017767836,6.403518889,-0.897152424,-8.207564179,-45.58765942
6.94633307,-2.524782185,5.568055804,0.566249711,-1.256011579,8.63155419
4.181077266,-0.312350858,6.204841692,1.323255799,5.668181394,36.97433701
-1.397943418,2.746774379,5.766733001,0.14283906,-0.641779775,-2.063126696
-4.775657592,-1.16862605,5.812581585,0.483401473,1.026242349,13.75635428
-1.008032195,-0.507716716,5.583338665,0.642803303,3.262880861,15.35298676
-3.646759101,5.187524352,5.59352724,-0.188308472,-3.67386934,-8.619546207
-2.128240951,-0.65690371,5.629187249,0.682523749,2.894752071,18.03577921
0.944990203,2.066068293,5.491641497,0.462407603,3.224956122,11.57638966
-4.792961518,11.74471569,6.041824505,0.689779383,3.903147378,22.05841908
5.583361692,-14.97943061,5.985787347,0.333150306,0.932233198,12.475492
-3.942011773,-1.3232707,6.632761809,1.272576278,9.23345349,41.74844466
10.85234718,-8.279981518,6.564970207,-0.38744955,-3.886257057,-22.20499145
-4.704449462,5.71442933,5.845171763,1.436633288,8.884607496,38.43842731
-3.196728121,5.654134809,6.003425322,-1.177669911,-8.119979264,-39.16207166
-4.597745185,8.425355266,5.732862786,1.283711751,6.826194364,30.68857567
5.627235481,8.852922705,5.492929971,-1.862828743,-11.7889688,-60.22402561
1.2449165,16.06028404,5.36020118,0.866317557,3.93151301,20.96925687
-1.598036136,0.029401323,5.426565576,-0.971209354,-6.326290678,-31.48389137
3.596499152,5.344632873,5.25810211,-0.919801372,-7.606223318,-33.88526248
2.142299741,-13.2519273,5.334676413,1.227764144,6.865944553,35.45871686
0.319971787,-3.8854355,5.819646996,-0.041205467,-0.788370963,-0.457439225
-4.254095704,-4.723480749,5.595029041,-0.739863211,-6.668161835,-22.5193592
-0.096280438,6.696918399,6.105524392,-0.196795057,-3.717109045,-6.069786899
5.721182184,1.225291381,6.936844482,2.110570468,14.19684043,60.04889152
-2.571085331,3.533739882,6.010908751,0.293672586,2.25404781,7.439901964
-4.637492904,12.25131104,6.379236776,0.159339174,1.388370704,2.942172392
-5.146468928,4.352340898,5.893248409,0.243359826,0.888133332,4.323312872
-3.100655301,12.50381692,5.898364076,-0.139204626,0.657471046,-7.135238382
-0.208110907,-10.59748666,5.453301045,-0.774703092,-6.039614075,-28.72806361
0.37076888,-10.31529168,5.591424055,-0.473837884,-1.672624502,-18.49068329
-0.181515896,0.244874301,5.524920384,-0.289036853,-1.284380019,-14.36444827
-3.08821649,-2.461247419,5.345872038,-0.405730527,-4.60773942,-15.78400163
-5.262933094,-1.576974341,5.821629071,-0.672847753,-5.283787529,-22.97760992
0.218915377,-0.593498603,5.734662731,-0.387180205,-1.995841093,-12.03123375
1.83822382,14.75439216,6.169494428,-1.480463554,-11.70585802,-47.47026213
-2.014891144,-5.349780224,6.023873714,-1.790883268,-21.49590583,-95.42739504
1.699781559,1.489384423,5.495823507,1.075153038,4.318476491,22.70603631
-4.621935818,-8.053657774,6.075140724,0.441679402,1.025176033,-6.049784095
-6.928918637,-1.112350718,5.60861093,0.069863745,-2.875781337,-11.14482715
-4.8360656,3.436859813,5.695764848,1.097262229,6.059837743,21.90464707
-2.277502244,5.247537054,5.306135569,-0.57804103,-4.385455347,-25.65747033
-2.867800636,3.82249369,5.383036085,0.068911985,-1.897102335,-8.942859714
0.971031552,-8.240024898,5.429176394,0.906225254,5.749028549,16.0007675
1.10107739,7.310679449,5.357402579,0.388972854,1.453539621,6.30151109
0.43281797,-2.339751563,5.870072683,0.442201928,2.132471333,5.207311414
5.101039192,-10.32461353,5.716271652,0.001435763,-0.355076222,-4.268637193
-2.185293654,1.861815201,6.10590093,-0.732681321,-4.55518638,-31.50030219
-0.082319188,-1.790339694,6.276353816,0.154467625,-0.658590716,-5.038898504
1.885989429,-1.770288418,5.767876707,2.018808292,12.65265858,58.01729699
-1.265368537,2.91929369,6.101725314,-0.025411321,-2.327157863,-7.013860035
-1.281363228,-0.171428009,5.54188688,0.009131306,-0.113546879,-0.993977906
-3.063846685,-1.619435543,5.511070086,0.291873901,-0.343448788,4.971371042
-1.918705644,-2.12039059,5.192629876,-0.185587018,-0.880053539,-8.213538604
-3.459563769,7.506951964,5.372394511,0.356088752,2.16154516,7.794809745
0.818684909,-3.269680598,5.213174406,-0.497104122,-4.70424824,-17.37249266
-0.14303143,-1.150192982,5.233718935,0.844747729,4.969148238,23.94452789
-5.447347134,-4.978542012,5.500797821,-1.26796598,-8.584212838,-41.83166368
-3.091699591,-1.629564707,5.531614616,0.853065888,4.119887907,23.9475556
3.048034718,-7.683351371,6.142814374,0.233603008,1.697020964,2.963417285
1.586114078,-6.762549713,5.904176298,-1.85250682,-14.53720481,-57.67869275
3.056990444,4.616082326,5.544478873,2.328154186,11.41568007,70.95083783
-2.015764661,-2.780819902,5.965838713,0.109287761,0.407499015,2.401190889
3.58268922,-4.219465873,5.724327585,1.847722048,10.30468822,59.25341987
-7.322112476,4.023677462,5.487954992,-0.730836545,-4.441120348,-20.40486162
-1.071030041,-6.746431888,5.046041013,-0.305296087,-2.820676543,-7.121095853
0.785413634,-1.445032202,5.205335587,0.167367673,-0.086242333,1.381332033
0.306552073,4.296462558,5.159088775,-0.145810645,-0.888092751,-4.572210705
-0.097089596,1.363163543,5.133396102,0.458371682,1.330624566,12.03366048
-1.281901551,-1.274427868,5.565033012,0.009513141,0.547375793,0.875860307
-1.898312776,0.870121493,5.544478873,0.455768878,1.23026357,13.55192624
8.713371248,-8.081321433,5.893899229,-0.514831426,-4.629517662,-15.95045699
2.634492579,1.754782457,6.01556368,-0.303595223,-3.594266451,-14.81861628
-1.20246192,-2.881051609,5.194326317,-1.019728992,-8.109238383,-30.84080754
3.84151308,-5.853399399,5.72299787,0.291401333,-0.882354248,2.944959479
-2.68672497,-1.44224515,5.327777389,-0.001389389,-1.496320244,-1.272125076
1.288203956,1.031834942,5.399635658,0.397834039,2.07879451,11.78336503
0.631192513,4.216454299,5.024946111,-0.209030819,-0.531758324,-3.841274377
4.243354335,10.24275827,5.08140618,-0.285363196,-2.923029267,-8.650332228
-1.326454826,1.440006653,5.096804381,0.500795072,3.152812664,16.13416171
-2.664489057,5.56090564,4.989016977,-0.192448127,-1.444810588,-6.771587436
7.06583804,-4.746921391,5.604944999,1.101944123,5.861527289,31.53310887
-7.14436866,-5.269567702,5.502290328,0.215315818,0.905773471,7.557484365
4.913787336,-6.341847697,5.687068735,-1.571867319,-11.34926794,-49.95773916
-4.484079285,5.381303234,5.574055477,-1.474603122,-9.041854063,-22.55894354
-4.012111109,9.213285388,4.938777095,-1.037605394,-5.2536761,-28.67756211
-6.513182616,4.334487594,5.476714434,-0.244350988,-3.507153539,0.660257819
-2.663540092,2.20528381,5.220553797,0.320288702,1.326292514,18.76594506
-0.339495711,-1.324328577,5.174444882,-0.094624861,-0.904766163,7.292733001
-0.3523939,-8.016057523,4.861928904,-0.033177014,-0.469425079,7.333922802
-1.140262343,-5.341803587,5.13345918,1.151821203,6.909028313,41.56073175
-2.344166703,5.570389747,5.010502074,-0.049176526,-0.741415102,5.857590682
2.089807788,2.148907862,4.995132436,0.850067397,5.082349581,30.34708489
-5.049088285,0.755288456,5.471591222,0.692390869,2.064190231,27.03873064
0.059649982,0.437313962,5.256416286,-0.65874342,-4.626084105,-16.41776552
0.914234969,-7.419751132,5.753367923,0.443864677,3.091562085,17.10454008
-1.104776268,1.082771441,5.866052073,0.355346107,1.083703706,26.93078985
6.117763814,-0.765982456,5.099581855,-0.645424531,-0.645979125,-13.65673776
0.622347369,-3.57102516,5.564573787,0.156800779,-0.284011429,12.97733465
0.794965073,-8.141471253,5.135350465,-0.141541524,0.458611467,2.417234356
-2.32441226,4.482893946,5.135350465,-0.076876553,-1.21210131,2.735336463
